"X1","id","name","brand","desc","categories","imgurl"
0,14,"Hornby 2014 Catalogue","Hornby","Product Description Hornby 2014 Catalogue Box Contains 1 x one catalogue","Hobbies","img/hobby3.jpg"
1,15,"FunkyBuys® Large Christmas Holiday Express Festive Train Set (SI-TY1017) Toy Light / Sounds / Battery Operated & Smoke","FunkyBuys","Size Name:Large FunkyBuys® Large Christmas Holiday Express Festive Train Set (SI-TY1017) Toy Light / Sounds / Battery Operated & Smoke","Hobbies","img/hobby3.jpg"
2,16,"CLASSIC TOY TRAIN SET TRACK CARRIAGES LIGHT ENGINE BOXED BOYS KIDS BATTERY","ccf","BIG CLASSIC TOY TRAIN SET TRACK CARRIAGE LIGHT ENGINE SOUND BOXED KIDS BATTERY Railway Train Set with Light Sound Big Size Curved Track Free Wheeling Action Working Headlight Sound Horn The Track Can Also Be Assembled In More Layouts Length Of Track 104 cm WIDTH OF THE TRACK 68 CM Finely Detailed Realistic Toy Train REQUIRES 2 AA BATTERIES (NOT INCLUDED)","Hobbies","img/hobby4.jpg"
3,17,"HORNBY Coach R4410A BR Hawksworth Corridor 3rd","Hornby","Hornby 00 Gauge BR Hawksworth 3rd Class W 2107 W # R4410A","Hobbies","img/hobby8.jpg"
4,18,"Hornby 00 Gauge 0-4-0 Gildenlow Salt Co. Steam Locomotive Model","Hornby","Product Description Hornby RailRoad 0-4-0 Gildenlow Salt Co 00 gauge steam locomotive model. Safety warning: This product is not suitable for children under 3 years because of small parts which could present a choking hazard. Some components have functional sharp edges. Handle with care. Only use this product with the recommended transformer. Made in China. Box Contains 1x Steam Locomotive Model","Hobbies","img/hobby5.jpg"
5,19,"20pcs Model Garden Light Double Heads Lamppost Scale 1:100","Generic","These delicate model garden lights are mainly used in teaching photography and various kinds of scene model. Each of them is completed with wires and has double heads which can be lighten with 6V power. These model lights measure about 7cm high. Light up your model layout with this great model lamppost! Description: A pack of 20pcs model garden lamps Each has double head completed with wires and bulbs Mainly used to decorate your model layout Voltage: 6V Power: 1 W Height: Approx. 2.76 inch / 7cm Scale: 1:100 Material: Plastic Main Color: Black Note: Each lamp has 4 wires altogether. When you connect these wires with the power please connect two long wires with one end and connect the rest two short wires with another end. Package Include: 20pcs model garden lights","Hobbies","img/hobby9.jpg"
6,20,"Hornby 00 Gauge 230mm BR Bogie Passenger Brake Coach Model (Red)","Hornby","Product Description Hornby BR bogie passenger brake coach has pristine finish. Livery: BR red livery. Entered Service: 1930. Period: 1950. 230mm coach model length. The truly fascinating and varied range of Hornby coaches offers something for most enthusiasts modelling the various regions and periods of the British rail network. Box Contains 1x Red Bogie Passenger Brake","Hobbies","img/hobby4.jpg"
7,21,"Hornby Santas Express Train Set","Hornby","Product Description Inject a bit of Hornby magic into Christmas with the special Santas Express Train Set. The set includes everything you need to get started including Santas festive train an oval track power transformer and mat. Whether this is your first train set or youre a seasoned modeller Santas Express will delight young and old alike and is sure to become a festive favourite. - for a spectacular Christmas decoration build the set around the base of your Christmas tree or use as a moving table centre! - add some Christmas cheer to your existing model railwaySantas special train includes his very own steam engine a wagon full of presents and a closed van in which he keeps his reindeer. The spritely little engine in its colourful livery is more than capable of pulling such an important train around the oval of track included in this set. Additional track packs can be obtained to make the layout larger and even more exciting and there is even a Hornby MidiMat included so you can see how Santas Special train set can grow and grow into a truly exciting model railway. Contents: -Santas Express 0-4-0 locomotive -7 Plank Open Wagon (with lots of presents!) -Reindeer Box Van -3rd Radius Starter Oval -Power Track and Track Straight -R8250 Train Controller -P9000 Transformer -Hornby MidiMat (1600 x 1180mm) This item will be supplied with a UK transformer Box Contains 1x Santas Express 0-4-0 locomotive 7x Plank Open Wagon 1x Reindeer Box Van 1x 3rd Radius Starter Oval 1x Power Track and Track Straight 1xR8250 Train Controller 1x P9000 Transformer 1x Hornby MidiMat (1600 x 1180mm)","Hobbies","img/hobby7.jpg"
8,22,"Hornby Gauge Western Express Digital Train Set with eLink and TTS Loco Train Set","Hornby","Western Express Digital Train Set with eLink and TTS sound loco Set Hornby R1184","Hobbies","img/hobby1.jpg"
9,23,"Hornby Gauge Railroad Mosley Tarmacadam Locomotive","Hornby","Product Description RailRoad 0-4-0 Hogarth Stone Ex-SR Box Contains 1x Locomotive","Hobbies","img/hobby1.jpg"
10,24,"Kato (USA) 176-1308 F3B Denver & Rio Grande Western","Kato (USA)","Suitable for the following scale(s): N Scale","Hobbies","img/hobby4.jpg"
11,25,"Bachmann 37-662 14 Ton Tank Wagon Pease & Partners Red","Bachmann","Suitable for the following scale(s): OO Scale","Hobbies","img/hobby9.jpg"
12,26,"Hornby 00 Gauge 253mm Weathered Paviland Grange Steam Locomotive Train Model","Hornby","Product Description Hornby Weathered DCC Ready 00 Gauge Paviland Grange steam locomotive train model. Its features: Sprung buffers sliding cab roof hatch NEM couplings tender detail. Class: grange designer: C.B. collett entered service: 1936 number built: 80 purpose: mixed traffic wheel configuration: 4-6-0 length: 253mm motor: 5 pole skew wound. loco drive DCC ready livery: BR (late) finish: heavily weathered Box Contains 1x Train Model","Hobbies","img/hobby5.jpg"
13,27,"Kumoyuni 74-0 Shonan Color (Model Train)","Kato","Japanese toys","Hobbies","img/hobby5.jpg"
14,28,"Bachmann 31-588 Freightliner Class 70 005 Powerhaul Diesel Weathered","Bachmann","Suitable for the following scale(s): OO Scale","Hobbies","img/hobby9.jpg"
15,29,"Preiser 30495 Horse Drawn Wedding Coach (Closed)","Preiser","Suitable for the following scale(s): HO Scale","Hobbies","img/hobby5.jpg"
