"product_name","text","rating"
"Hornby 2014 Catalogue","Worth Buying For The Pictures Alone (As Ever) ",4
"FunkyBuys® Large Christmas Holiday Express Festive Train Set (SI-TY1017) Toy Light / Sounds / Battery Operated & Smoke","Four Stars ",4
"CLASSIC TOY TRAIN SET TRACK CARRIAGES LIGHT ENGINE BOXED BOYS KIDS BATTERY","**Highly Recommended!** ",5
"HORNBY Coach R4410A BR Hawksworth Corridor 3rd","I love it ",5
"Hornby 00 Gauge 0-4-0 Gildenlow Salt Co. Steam Locomotive Model","Birthday present ",5
"20pcs Model Garden Light Double Heads Lamppost Scale 1:100","Five Stars ",5
"Hornby 00 Gauge 230mm BR Bogie Passenger Brake Coach Model (Red)","High standard model well worth the wait. Replaces ... ",5
"Hornby Santas Express Train Set","Beautiful set ",5
"Hornby Gauge Western Express Digital Train Set with eLink and TTS Loco Train Set","Five Stars ",5
"Learning Curve Chuggington Interactive Chatsworth","Chuggers are go! ",4
"Hornby Gauge Railroad Mosley Tarmacadam Locomotive","steaming good engine! ",5
"Kato (USA) 176-1308 F3B Denver & Rio Grande Western","Five Stars ",5
"Bachmann 37-662 14 Ton Tank Wagon Pease & Partners Red","Five Stars ",5
"Hornby 00 Gauge 253mm Weathered Paviland Grange Steam Locomotive Train Model","Gods Wonderful Railway. ",5
"Kato 3060-2 EF65 500 (F Model) Electric Locomotive","Kato model engine n gauge ",5
"Glacier Express of N gauge 10-1219 Alps [UNESCO paint color] 7 Car Set","Five Stars ",5
"Power Trains Freight Industrial (Pack of 4)","As expected ",4
"Chuggington Interactive Wash and Fuel Set with Brewster Train Toy","Good fun but not for long ",3
"Kumoyuni 74-0 Shonan Color (Model Train)","Four Stars ",4
"Bachmann 31-588 Freightliner Class 70 005 Powerhaul Diesel Weathered","I NOW HAVE A SECOND OF THESE BACHMANN POWERHAULS COMING ... ",5
"Preiser 30495 Horse Drawn Wedding Coach (Closed)","An excellent HO scale diorama piece ",5
"Preiser 30414 Horse Drawn Liquid Manure Wagon","An excellent HO scale diorama piece ",5
"Bachmann Class A2 60534 Irish Elegance BR Lined Green Early Emblem","Five Stars ",5
"Plarail - S-29 Steam Locomotive Type C61-20 w/Head Light (Model Train)","A nice change from all that Thomas stuff. ",5
"Roco 64723 OBB Railjet Economy Coach V","Excellent model in perfect condition from reputeable amazon seller ",5
"Learning Curve Chuggington Interactive Brewster","Fabulous! ",5
"Plarail - AS-07 Shinkansen Series 700 (Model Train)","Five Stars ",5
"Thomas and Friends Take-n-Play Molly","Molly: Thomas the Tank engine ",5
"Hornby R2981 London 2012 1948 Games 00 Gauge Limited Edition Train Pack","Olympic Gold ",4
"Gaugemaster HBYS Hornby Type Colour Light Signal for 12v DC","Five Stars ",5
"Hornby R3246TTS LNER 2-8-2 Cock O The North P2 Class with TTS Sound","Five Stars ",5
"Thomas and Friends Take-n-Play Elizabeth","great fun ",5
"Faller 140322","Fairground train set up ",4
"Topro LED Flashing Neon Sensory Maracas Light Up Maracas Toy","Brilliant. ",5
"Bachmann 32-882 Fairburn 2-6-4 Tank 42062 BR Lined Black Late Crest","Five Stars ",5
"Alps Glacier Express (Add-On 4-Car Set) (Model Train)","Great value and quality ",5
"Hornby Gloucester City Pullman Train Set","Good introduction to model railways ",4
"Dapol Model Railway Stanier 57ft Non-Corridor Coach - OO Gauge Plastic Kit","Attractive non-corridor carriage. ",5
"Faller 140428","Faller Fairground Model ",4
"Hornby R3086 RailRoad LNER 4-6-2 Flying Scotsman Class A3 00 Gauge Steam Locomotive","Hornby R3086 LNER Flying Scotsman ",5
"Ratio 271 Pratt Truss Signal Gantry Kit to span two tracks","well packed and on time ",5
"Ohigawa Railway SL [Kawane-ji] (4-Car Set) (Model Train)","Five Stars ",5
"HIGH SPEED TRAIN BUMP AND GO WITH MUSIC AND LIGHT HIGH QUALITY TOY","grandchildren love it but it does tend to go round ... ",4
"TRIX T23469 H0 Luggage wagon of K.BAY.STS.instance Luggage van","A finely-detailed HO-scale model ",5
"Dapol Stanier 57ft Non Corridor Brake Coach - OO Gauge Plastic Kit","An excellent kit. ",5
"S-60 EF66 Electric Locomotive (Tomica PlaRail Model Train) (japan import)","Five Stars ",5
"Power Trains Freight Military (Pack of 4)","Tanks for the memories ",5
"Hornby R1138 GWR Passenger Freight 00 Gauge Electric Train Set","Horny R1138 GWR Frieght Train review ",4
"WD Austerity 2-8-0 90448 BR Black Late Crest (DCC","great model at great price ",5
"KATO 70148015 N Portram TLR 601 Portram grün","... over the moon with this item exemplary service and fantastic value for the ",5
"I/G (2) Oldtime Lanterns Working","Old time street lamps ",5
"Piko 53366 KSStEB 1st/2nd Class Coach I","A nicely-detailed HO-scale model ",5
"Hornby Digital 15 V 4 Amp Transformer","Essential for the latest digital Scalextric digital base also usable with train sets. ",4
"Faller 140431","All the fun of the fair ",5
"Harry Potter - Diecast Hogwarts Express Train","A Great Model ",4
"Bachmann 31-169 L&YR 2-4-2 Tank 50795 BR Lined Black Early Emblem","Five Stars ",5
"Kato 8002 Koki 10000 Freight Wagon","Five Stars ",5
"Gaugemaster Single Track Controller/ Plug in Transformer","Just What I wanted ",5
"Model Railway OO / HO Scale C83 Battle Of Britain Class 257 Squadron Locomotive Plastic Kit","Five Stars ",5
"Walthers Proto 920-40695 EMD F7A RI No.676 (DCC-Sound)","Walthers Proto F7a Best Buy ",5
"Hornby Railroad 00 Gauge LNER Class A1 Flying Scotsman with TTS Sound Steam Locomotive","Christmas Joy! ",5
"Piko 57013 myTrain Diesel Locomotive","This is a great locomotive for kids - top speed is ridiculously fast ... ",5
"Train Tech DS6 One Touch DCC Signal Dual Home (R/G)","Easy to install ",5
"Kato 10-847 E259 Narita Express 3 Car Powered Set","Five Stars ",5
"Hornby R3064 RailRoad BR Smokey Joe 00 Gauge Steam Locomotive","Great engine. ",5
"Hornby Pennine Express Train Set","hornby pennine express train set ",5
